student_id,attendance,quiz_avg,assignment_avg,midterm,late_submissions,prev_gpa,final_mark,risk_label
RU1000,81,51,78,14,1,2.89,65,Low
RU1001,44,16,85,30,0,2.88,52,Medium
RU1002,90,25,25,0,8,2.56,13,High
RU1003,50,99,99,53,8,2.78,72,Low
RU1004,53,69,99,2,8,2.17,40,Medium
RU1005,32,11,57,15,5,1.01,23,High
RU1006,51,10,94,86,7,1.38,51,Medium
RU1007,82,57,48,56,0,0.73,59,Low
RU1008,31,21,42,74,3,3.63,67,Low
RU1009,59,78,32,11,0,2.33,52,Medium
RU1010,67,46,19,73,7,1.6,27,High
RU1011,31,41,78,95,0,1.85,65,Low
RU1012,93,18,43,15,2,3.79,59,Low
RU1013,89,28,61,71,3,0.61,61,Low
RU1014,50,57,19,75,7,2.34,33,High
RU1015,62,89,28,23,5,2.02,51,Medium
RU1016,87,12,67,27,6,2.45,31,High
RU1017,51,29,10,7,7,0.07,15,High
RU1018,78,33,78,91,1,3.49,73,Low
RU1019,88,63,13,35,7,3.73,46,Medium
RU1020,71,42,25,89,2,2.26,69,Low
RU1021,89,33,33,7,6,2.79,39,High
RU1022,44,84,89,57,2,3.69,84,Low
RU1023,91,81,11,59,6,2.83,61,Low
RU1024,91,45,41,49,1,0.61,65,Low
RU1025,76,47,100,27,5,2.31,68,Low
RU1026,91,93,93,91,2,2.43,91,Low
RU1027,80,98,33,100,2,1.7,81,Low
RU1028,84,34,21,40,8,2.95,26,High
RU1029,93,27,59,99,6,3.74,71,Low
RU1030,32,91,44,63,4,3.7,68,Low
RU1031,80,75,42,26,6,1.8,47,Medium
RU1032,36,63,42,62,8,0.45,33,High
RU1033,50,44,70,16,0,3.94,61,Low
RU1034,68,89,60,72,6,3.36,79,Low
RU1035,47,70,52,32,5,0.5,36,High
RU1036,33,50,21,83,8,3.68,39,High
RU1037,89,42,76,76,0,3.48,93,Low
RU1038,43,77,74,91,3,2.08,59,Low
RU1039,38,42,42,28,8,2.37,31,High
RU1040,82,23,49,12,3,1.6,33,High
RU1041,31,30,83,45,2,0.22,52,Medium
RU1042,89,57,52,34,8,1.34,40,Medium
RU1043,100,29,53,5,1,3.21,60,Low
RU1044,73,17,38,81,3,0.02,47,Medium
RU1045,37,16,22,68,5,1.33,14,High
RU1046,76,76,21,46,1,1.59,51,Medium
RU1047,64,26,55,24,7,2.15,43,Medium
RU1048,65,42,11,65,7,3.68,51,Medium
RU1049,79,57,44,9,0,1.39,54,Medium
RU1050,33,85,96,55,2,1.39,54,Medium
RU1051,31,68,90,29,8,2.95,51,Medium
RU1052,35,95,99,4,4,1.81,58,Low
RU1053,83,31,17,32,5,0.9,32,High
RU1054,33,39,35,64,3,1.81,52,Medium
RU1055,83,47,83,17,1,0.56,50,Medium
RU1056,92,60,99,95,7,0.71,65,Low
RU1057,47,63,43,48,5,1.99,25,High
RU1058,73,17,16,10,4,1.68,34,High
RU1059,63,36,77,84,8,3.66,64,Low
RU1060,91,36,67,25,0,1.45,47,Medium
RU1061,43,30,84,62,4,2.32,41,Medium
RU1062,77,39,38,88,5,2.53,52,Medium
RU1063,44,37,45,85,4,0.05,47,Medium
RU1064,91,73,98,58,5,2.65,75,Low
RU1065,69,78,30,26,5,0.71,31,High
RU1066,82,70,45,48,6,3.84,54,Medium
RU1067,53,57,19,76,3,0.59,35,High
RU1068,55,28,82,32,7,1.66,23,High
RU1069,89,13,33,97,6,0.34,34,High
RU1070,70,44,73,98,8,3.99,60,Low
RU1071,58,73,58,0,6,2.01,44,Medium
RU1072,44,58,45,20,2,2.38,44,Medium
RU1073,74,26,91,54,2,0.27,50,Medium
RU1074,94,53,33,5,7,3.0,60,Low
RU1075,100,39,32,91,4,0.84,52,Medium
RU1076,38,55,71,80,3,3.59,78,Low
RU1077,30,15,46,68,7,0.82,39,High
RU1078,37,46,21,94,5,0.76,26,High
RU1079,92,33,64,4,1,0.15,45,Medium
RU1080,40,55,22,2,3,1.89,25,High
RU1081,37,62,32,52,3,2.26,42,Medium
RU1082,64,69,98,22,5,0.26,53,Medium
RU1083,64,72,39,100,5,3.1,63,Low
RU1084,62,94,26,52,0,1.81,59,Low
RU1085,34,41,71,36,7,2.1,35,High
RU1086,70,96,93,73,5,1.76,72,Low
RU1087,57,42,98,73,2,1.6,59,Low
RU1088,36,76,95,82,8,2.24,66,Low
RU1089,41,27,22,16,1,0.62,34,High
RU1090,63,34,68,84,7,0.73,49,Medium
RU1091,62,63,28,77,2,3.45,64,Low
RU1092,77,67,58,72,4,3.78,68,Low
RU1093,52,76,21,0,5,1.49,23,High
RU1094,91,55,70,50,5,1.08,76,Low
RU1095,66,33,28,44,3,2.58,54,Medium
RU1096,73,41,85,76,2,1.63,63,Low
RU1097,64,56,18,3,3,0.1,27,High
RU1098,94,95,80,61,0,0.62,78,Low
RU1099,76,32,37,64,3,2.86,62,Low
RU1100,32,75,87,31,0,2.64,70,Low
RU1101,30,36,61,33,0,0.11,47,Medium
RU1102,34,11,92,91,5,0.89,42,Medium
RU1103,43,99,25,94,4,0.92,56,Low
RU1104,56,26,78,71,3,2.69,48,Medium
RU1105,38,42,21,38,2,0.08,18,High
RU1106,44,18,34,25,0,0.42,39,High
RU1107,71,52,61,33,5,3.2,48,Medium
RU1108,80,57,94,53,1,0.71,62,Low
RU1109,92,48,62,2,7,2.61,44,Medium
RU1110,81,51,32,49,4,0.95,51,Medium
RU1111,33,35,25,11,6,0.4,3,High
RU1112,52,59,66,64,1,0.97,32,High
RU1113,44,34,48,53,7,2.89,33,High
RU1114,72,33,62,4,1,3.42,65,Low
RU1115,58,22,51,93,3,3.32,67,Low
RU1116,65,69,67,93,0,1.59,89,Low
RU1117,42,16,48,56,4,2.67,34,High
RU1118,61,66,23,16,8,0.82,9,High
RU1119,100,45,14,46,0,1.17,59,Low
RU1120,88,54,44,22,8,3.59,49,Medium
RU1121,57,29,96,78,7,0.05,49,Medium
RU1122,95,74,84,100,5,0.34,81,Low
RU1123,71,17,27,84,6,0.83,41,Medium
RU1124,74,25,85,13,2,0.11,47,Medium
RU1125,91,23,18,65,0,0.73,57,Low
RU1126,86,85,83,74,4,2.33,83,Low
RU1127,35,96,67,50,1,1.69,70,Low
RU1128,57,24,26,37,4,3.57,51,Medium
RU1129,57,75,16,63,7,3.27,60,Low
RU1130,73,41,55,97,8,1.37,46,Medium
